TestID,SortedArray,TimeComplexity(ns),SpaceComplexity(bytes),ArraySize,ArrayType,TestPassed,Exception
TC_11,"[143, 156, 79, 611, 89, 848, 780, 276, 791, 574, 202, 894, 615, 141, 738, 53, 554, 608, 865, 818, 445, 69, 288, 38, 798, 960, 110, 276, 939, 693, 883, 626, 791, 376, 740, 747, 708, 703, 14, 681, 508, 687, 65, 143, 487, 696, 692, 389, 235, 368, 637, 962, 247, 730, 279, 976, 415, 235, 378, 562, 335, 292, 746, 741, 870, 8, 303, 716, 754, 929, 649, 252]",30764800,31184,72,Numeric,false,None
TC_12,"['rpkti', 'neqtn', 'bsowm', 'adgod', 'cfjgb', 'xzkko', 'sudcv', 'qwrfk', 'bmcqi', 'xmjsq', 'qbbei', 'cnqcq', 'btqxi', 'sewgo', 'cwyti', 'ddpoh', 'ykedc', 'xnqlb', 'qopld', 'sccjp', 'nghvo', 'pfkwr', 'wtdde', 'oyiqh', 'xmbjl', 'bghxa', 'antxy', 'ldiyx', 'rqypb', 'vhspt', 'rcfoz', 'xtkox', 'inznb', 'wtfoh', 'avaxd', 'rvreo', 'xvdtd', 'ommca', 'dotrj', 'vnprt', 'kycwh', 'eztad', 'cxeci', 'xmole', 'datrz', 'uyplu', 'broqo', 'fdusv', 'gmoze', 'ksxyi', 'drnef', 'ayakr', 'owazs', 'guzvz', 'rinyf', 'jjclr', 'tliye', 'qndvy', 'kfabp', 'ghtar', 'nhesy', 'rojwc', 'kuxmp', 'dnero', 'gmbzf', 'mvjby', 'wxdfy', 'wfzug', 'pkqew', 'srztu']",30995000,31176,70,String,false,None
TC_13,"['wdipf', 'rcdkp', 'ixkha', 'leurq', 'qjkpz', 'bpcey', 'ielwv', 'vwfrk', 'ciuxs', 'nxtqx', 'ncgov', 'revtm', 'cgjyy', 'woxqk', 'guwfq', 'qhabm', 'yomex', 'jrawd', 'qbaip', 'uvyku', 'zjrks', 'nonoj', 'mqpyy', 'bekyr', 'pufiq', 'wcint', 'apkce', 'wgwux', 'jmifv', 'pdmey', 'oswey', 'mjsww', 'fbahq', 'ntesm', 'ucksc', 'trkfv', 'wumdf', 'dlotq', 'tqnyv', 'kverk', 'fzxsu', 'ntfeb']",35294000,31064,42,String,false,None
TC_14,"['igkeb', 'ckgpf', 'gebww', 'ejzgr', 'ztzed', 'tfxyl', 'ltioj', 'lxime', 'wylop', 'bixsf', 'tpyjl', 'cadwr', 'polfs', 'pqgxx', 'iatap', 'weggf', 'tjwnm', 'ohqkg', 'dpczk', 'ehcqv', 'jnngc', 'mzeqi', 'mvxaf', 'uiwnl', 'fxgrf', 'mzejn', 'qvyqw', 'bdqke', 'qqtzo', 'wbxnz', 'umycb', 'clsxd', 'znyfx', 'brilv', 'oopsp', 'bbfpa', 'vzlwn', 'xgtay', 'pdtvv', 'pwwnc', 'tygtr', 'mguld', 'lsgxt', 'popeo', 'bkkcx', 'vvmen', 'ksydf', 'pwkyb', 'armfr', 'ruzst', 'mfkps']",33349400,31104,51,String,false,None
TC_15,"['afhby', 'cshyu', 'gsegz', 'omdob', 'iagpp', 'qsqqo', 'lrtno', 'jyxph', 'rbldh', 'sosac', 'zyyjs', 'jtjfg', 'orrso', 'qtmeq', 'nsdnr', 'dbgtu', 'dbofs', 'ozwjf', 'qltos', 'phtkv', 'ilflb', 'uoxxt', 'rpsds', 'dzxwj', 'gwarp', 'ckwea', 'idwpi', 'gmpnx', 'bosxn', 'bfrkc', 'ztyie', 'cjjmx', 'fvpyj', 'vdjzr', 'aqhpx', 'nwcls', 'sycbf', 'oqlwv', 'kmxxv', 'moscp', 'zzfzu', 'wbsve', 'xvcqm', 'zyksb']",31326300,31072,44,String,false,None
TC_16,"[563, 161, 291, 803, 666, 11, 833, 26, 321, 137, 246, 7, 957, 57, 850, 438, 842, 110, 17, 178, 233, 976, 312, 339, 81, 981, 483, 672, 613, 639, 98, 382, 870, 479, 80, 633, 973, 438, 452, 378, 557, 177, 182, 696, 830, 291, 532, 611, 160, 936]",32672400,31096,50,Numeric,false,None
TC_17,"[635, 227, 231, 351, 241, 93, 141, 436, 10, 630, 979, 225, 645, 606, 526, 512, 663, 390, 762, 548, 574, 412, 326, 940, 978, 741, 161, 264, 899, 135, 268, 914, 324, 100, 512, 684, 186, 896, 885, 654, 117, 885, 139, 340, 81, 8, 223, 482, 712]",38386100,31096,49,Numeric,false,None
TC_18,"['unjuu', 'jdmar', 'cwgjx', 'mcwaa', 'ditmb', 'tixjp', 'nezwc', 'bdzos', 'mrcpr', 'cjcoj', 'norli', 'sfdcq', 'lxvmv', 'admxe', 'nsycn', 'nicmh', 'zizqu', 'gazoq', 'szkke', 'ajesk', 'gwdry', 'sryvc', 'ebwiw', 'fhwuh', 'gqfnv', 'znlvc', 'wbyuv', 'vqvgt', 'vuazq', 'eacup', 'ftdgi', 'apwmv', 'wkxgv', 'ttpbe', 'htujc', 'quawr', 'ztmma', 'lmuie', 'nccmm', 'ctkvy', 'zoijj', 'hfokl', 'qgoud', 'kxrfs', 'amwui']",34277300,31080,45,String,false,None
TC_19,"[378, 221, 692, 576, 618, 318, 54, 786, 204, 225, 196, 311, 336, 146, 693, 279, 945, 238, 50, 906, 239, 124, 366, 876, 45, 929, 283, 436, 708, 787, 373, 409, 840, 123, 521, 507, 540, 509, 984, 415, 958, 25, 246, 365, 688, 792, 527, 784, 626, 576, 521, 372, 560, 175, 46, 963, 554, 849, 997, 657, 825, 321, 476, 55, 431, 403, 696, 141, 944, 175, 253, 480, 980, 833, 721, 524, 220, 695, 62, 519, 512, 886, 140, 172, 787, 284, 927, 608, 456, 573, 3, 598, 921]",34160900,31272,93,Numeric,false,None
TC_20,"['gszox', 'jajoz', 'thkca', 'xoxor', 'wuddu', 'tljcw', 'sephb', 'xevwd', 'zesss', 'fojox', 'uhixq', 'klqjt', 'lihbb', 'fwdbb', 'gxqsm', 'hebza', 'ereeo', 'nuxfs', 'blupd', 'fjudj', 'fomvh', 'ywqsl', 'ryuyg', 'nhrqs', 'axfas', 'jhjaf', 'yqyvj', 'kxyzz', 'xembw', 'bmlhi', 'iujxc', 'aszbg', 'ggjzp', 'lyppo', 'fizfs', 'wldll', 'drqhe', 'fvnxt', 'ganjc', 'pnimi', 'pvkpo', 'urnmz', 'ywpcu', 'aiuyu', 'jeaaz', 'xxgqa', 'nwolw', 'shlmb', 'rydsk', 'hixyd', 'srnkb', 'sfzph', 'aqgda', 'jhzjq', 'tzhki', 'ukqaw', 'vbcek', 'bblau', 'pzjrc', 'tildo', 'sazhz', 'unebj', 'wgwlm', 'hsfhp', 'esqws', 'njsry', 'kknqa', 'klbht', 'mcuut', 'zucvk', 'zgdrp', 'grrkh', 'xnvww', 'ekfaw', 'bynnx', 'wgevo', 'ntpod', 'bnysy', 'gaxli', 'sfmvj', 'wvdbq', 'hfamr', 'qyuiv', 'jqgsk', 'grkwh', 'acdts', 'xicnq', 'vzxpw', 'twrnw', 'onzmz', 'hrpvm', 'wmlbn', 'ndgrl', 'gykxd', 'xanld', 'kwioy', 'khmlr', 'vcxkx', 'nwgky', 'fxecj']",35792300,31424,100,String,false,None
TC_21,"['czjot', 'jifhp', 'qrrrk', 'kgkwm', 'uecrb', 'wljyc', 'ujudl', 'ywrce', 'vrtfi', 'hgzbr', 'ryhbk', 'cusui', 'rdxnm', 'nibfb', 'cxqjr', 'ttkov', 'jbeoe', 'ydfsg', 'psqwa', 'pitur', 'rnlfg', 'fmlaf', 'aqtog', 'rnxnc', 'uwvsv', 'bpsiz', 'ebwps', 'vissb', 'kgvwe', 'qesbp', 'tfhig', 'mfxhi', 'wzlsa', 'bknsr', 'jddex', 'satgk', 'iawdg', 'byqag', 'iaivs', 'krfiu', 'rnwse', 'bddep', 'avihg', 'ozvkw', 'mfubt', 'awnrz', 'jjjxg', 'wgtng', 'sysnn', 'imate', 'tsido', 'bkpuq', 'ejdxk', 'myilz', 'wzxkm', 'zwqni', 'heixe', 'hxhzn', 'ylzok', 'fxfea', 'mcxjj', 'exwjz', 'lfaee', 'phhsd', 'zthot', 'tamok', 'tcudi']",34148500,31168,67,String,false,None
TC_22,"[345, 679, 581, 30, 354, 297, 882, 780, 898, 674, 704, 562, 189, 137, 851, 129, 279, 371, 304, 18, 464, 957, 860, 93, 787, 759, 677]",35062300,31008,27,Numeric,false,None
TC_23,"['azkyv', 'coekh', 'cilrj', 'qzryi', 'eteep', 'zqwyy', 'zvebb', 'cccdl', 'ldvit', 'vqmnu', 'sagku', 'yybbp', 'ajlff', 'yybxy', 'uiowx', 'vmxre', 'jzkcp', 'porjd', 'sxepz', 'fwboz', 'qfkhk', 'inqmz', 'hectm', 'icewj', 'dnhnm', 'bwsih', 'zkcne', 'zptsg', 'lelqo', 'ijjrj', 'sfwmn', 'bzaao', 'kivwi', 'wzacv']",31304100,31032,34,String,false,None
TC_24,"[346, 410, 286, 983, 842, 810, 746, 271, 590, 494, 756, 334, 107, 101, 334, 606, 778, 471, 86, 229, 563, 322, 286, 701, 78, 543, 851]",29978800,31008,27,Numeric,false,None
TC_25,"['enfmq', 'xtnea', 'hxgsf', 'shzaw', 'sdasa', 'eowzr', 'jibwh', 'sxnzi', 'xinxq', 'sxpmc', 'qnzbe', 'cutmm', 'fytxk', 'yisyq', 'bxtme', 'dwboo', 'vfxza', 'yqopw', 'xhdqu', 'nyiev', 'teseo', 'aqedu', 'mmxtf', 'bjsda', 'tqqlf', 'nsegn', 'tmsfn', 'faxil', 'rijdb', 'aikkg', 'ynupy', 'sakdg', 'zpigx', 'qdohm', 'mbcev', 'rfhwo', 'mlufx', 'nhlrc', 'acyvd', 'jrrkp', 'upmfh', 'xvjdt']",32615600,31064,42,String,false,None
TC_26,"['fykre', 'hzalr', 'mbykb', 'mlldw', 'vihou', 'linvw', 'sjooh', 'lapna', 'kilpi', 'ehfdn', 'eufhv', 'ujgjb', 'rpeap', 'zeibq', 'bxbxw', 'lesxb', 'oaknf', 'ohxyb', 'kxwyh', 'hzxtl', 'qsbuc', 'xqykv', 'zlsfa', 'dtrkt', 'oommk', 'kxdla', 'rwkru', 'gowje', 'jcdnl', 'eqaiq', 'dpria', 'nsisp', 'ndxvi', 'euuhd', 'tnfyp', 'vpczi', 'slmjq', 'itibh', 'yezwc', 'wrllu', 'mxtpd']",33126300,31064,41,String,false,None
TC_27,"['hdpma', 'zxlmm', 'oecwd', 'nyoky', 'ebqyc', 'bawmz', 'mlaxf', 'ycvmq', 'tgoyu', 'zvodn', 'cbubx', 'blipd', 'esrtv', 'ufsrv', 'uuhkx', 'ynxzb', 'jsuyu', 'kpihw', 'ovwjt', 'khmoj', 'tzbpz', 'omzno', 'yneyu', 'qiipr', 'rviow', 'eunhb', 'xlrmj', 'safhy', 'whaiv', 'zaxkz', 'sbgfo', 'yvsly', 'qziis', 'mthwy', 'qvkyk', 'tcecs', 'mixao', 'bfjra', 'lmdnf', 'huxoe', 'lluqb', 'ncdgq', 'crfjy', 'iiobb', 'kfjgz', 'axppb', 'xwzwb', 'euqqo', 'zwofk', 'lpwde', 'etgqx', 'glynx', 'jmggp', 'pmnxm', 'kprdn', 'oavub', 'wleig', 'dmkej', 'dudlp', 'hlctc', 'xhbbl', 'dylkw', 'aueld', 'brqmd', 'uwypa', 'ogejl', 'qpyjp', 'axrgb', 'gdlko', 'kteye', 'itikv', 'ahprw', 'klrpy', 'ynzzy', 'zootj', 'aaifq', 'iqzsn', 'cnpgl', 'turck', 'oljdj', 'oangx', 'wkdza', 'ksyop', 'mmnim', 'jsdgt', 'wzgvw', 'fxqgt', 'zvokg', 'hozzc', 'hnxxm', 'ryfrf', 'bheaz', 'zcjih']",35225700,31272,93,String,false,None
TC_28,"['bkzrg', 'jujsa', 'sfuth', 'duais', 'gggxo', 'layuq', 'qkvxy', 'ddorb', 'ymkeb', 'zyvpx', 'srhvn', 'jqjly', 'deous', 'zorhv', 'rjbbc', 'nzgsn', 'kkshq', 'eezjn', 'gyytx', 'lbujm', 'zvrlu', 'xfrxw', 'fdpil', 'vwdsz', 'iunep', 'fcftr', 'cphax', 'tggfk', 'xmxon', 'ptmsy', 'fgian', 'dtprw', 'xyxwb', 'rpgtk', 'vxcdq', 'tvhdy', 'cuvtp', 'ohkit', 'uvrrf', 'vtlfu', 'qvdfa', 'mxbhm', 'xnpsf', 'dxuzi', 'hoywn', 'scgpg', 'ahjfc', 'vsxra', 'bbgfq', 'qypef', 'yjdud', 'dmrvq', 'epspi', 'dkkut', 'amsoy', 'tornj', 'ajywl', 'olzgy', 'qxckq']",33051200,31136,59,String,false,None
TC_29,"['hiuva', 'scczz', 'mduwo', 'gnuwr', 'vgbdr', 'ntvqa', 'fbebr', 'lhvob', 'wjfbd', 'issyf', 'vorzb', 'qnxbu', 'xhtpp', 'xlili', 'mmwyx', 'irtjz', 'mehfv', 'gsafq', 'pmrhj', 'ecbsg', 'qpnfl', 'rlkoe', 'diale']",31236500,30992,23,String,false,None
TC_30,"[814, 498, 328, 273, 759, 724, 626, 436, 318, 594, 626, 913, 113, 64, 503, 565, 273, 583, 140, 512, 565, 710, 517, 480, 183, 26, 730, 535, 111, 203, 104, 348, 810, 317, 620, 479, 542, 260, 179, 574, 972, 31, 158, 109, 566, 857, 110, 584, 162, 27, 882, 494, 826, 230, 58, 378, 208, 121, 180, 825, 772, 177, 248, 752]",31151900,31152,64,Numeric,false,None
